episode,high_tile,steps
836,256,232
837,256,220
838,1024,615
839,512,455
840,1024,945
841,512,489
842,256,286
843,512,456
844,512,497
845,256,263
846,256,221
847,1024,655
848,512,468
849,128,184
850,256,380
851,512,321
852,512,331
853,512,557
854,256,374
855,512,417
856,256,257
857,1024,646
858,512,422
859,512,415
860,512,567
861,128,226
862,512,512
863,512,381
864,512,433
865,512,497
866,256,343
867,512,448
868,128,269
869,1024,639
870,512,443
871,256,328
872,1024,908
873,256,280
874,256,345
875,256,249
876,256,222
877,512,473
878,128,254
879,256,280
880,256,310
881,512,413
882,128,150
883,512,441
884,512,435
885,256,241
886,512,465
887,256,358
888,1024,722
889,512,411
890,1024,768
891,512,517
892,1024,673
893,512,449
894,1024,783
895,512,509
896,512,477
897,512,558
898,256,280
899,1024,837
900,512,408
901,128,174
902,512,438
903,512,554
904,256,293
905,256,337
906,128,247
907,256,302
908,512,366
909,128,168
910,512,472
911,512,468
912,256,212
913,512,419
914,256,315
915,256,209
916,128,190
917,512,280
918,1024,613
919,256,206
920,128,158
921,64,122
922,512,390
923,128,183
924,256,274
925,512,511
926,128,193
927,256,224
928,256,356
929,64,114
930,256,232
931,128,236
932,128,151
933,128,161
934,64,116
935,1024,567
936,512,456
937,512,493
938,256,204
939,256,297
940,512,390
941,512,449
942,256,274
943,512,482
944,512,432
945,64,115
946,256,304
947,256,256
948,32,81
949,1024,627
950,128,164
951,256,250
952,256,280
953,32,62
954,128,164
955,128,139
956,128,151
957,256,223
958,512,402
959,64,111
960,256,251
961,128,196
962,256,223
963,512,577
964,128,210
965,128,172
966,128,168
967,32,76
968,512,444
969,128,157
970,256,287
971,256,275
972,256,219
973,64,144
974,256,285
975,512,585
976,256,289
977,256,287
978,128,212
979,512,321
980,32,73
981,128,188
982,32,72
983,512,461
984,64,102
985,128,149
986,512,352
987,512,658
988,32,88
989,256,275
990,256,215
991,256,270
992,32,58
993,256,217
994,256,267
995,128,225
996,1024,757
997,512,519
998,256,289
999,256,247
1000,256,241
1001,512,393
1002,512,317
1003,512,456
1004,256,189
1005,256,242
1006,128,157
1007,256,355
1008,1024,588
1009,512,407
1010,128,243
1011,128,167
1012,512,467
1013,256,275
1014,256,346
1015,256,325
1016,128,137
1017,256,361
1018,512,441
1019,128,121
1020,256,259
1021,512,449
1022,256,262
1023,128,208
1024,512,490
1025,256,228
1026,128,140
1027,512,463
1028,128,120
1029,128,230
1030,512,468
1031,256,280
1032,128,185
1033,256,323
1034,512,550
1035,512,476
1036,256,378
1037,512,370
1038,512,518
1039,256,366
1040,512,444
1041,512,393
1042,256,228
1043,512,397
1044,128,222
1045,256,234
1046,512,375
1047,256,295
1048,512,513
1049,256,320
1050,512,520
1051,1024,655
1052,1024,619
1053,512,410
1054,256,222
1055,128,189
1056,512,468
1057,512,470
1058,512,495
1059,256,321
1060,256,259
1061,512,358
1062,256,251
1063,512,403
1064,512,378
1065,256,270
1066,1024,843
1067,256,292
1068,256,332
1069,1024,987
1070,256,242
1071,256,243
1072,512,400
1073,512,478
1074,1024,748
1075,256,404
1076,256,333
1077,512,545
1078,512,399
1079,128,233
1080,256,259
1081,512,661
1082,512,514
1083,512,674
1084,512,443
1085,1024,874
1086,128,168
1087,512,607
1088,512,475
1089,512,499
1090,256,367
1091,256,327
1092,64,108
1093,256,325
1094,1024,597
1095,512,502
1096,512,507
1097,1024,1018
1098,1024,830
1099,2048,1277
1100,512,415
1101,512,526
1102,512,507
1103,512,504
1104,1024,844
1105,256,300
1106,512,391
1107,512,433
1108,512,579
1109,512,430
1110,512,503
1111,512,553
1112,256,295
1113,256,306
1114,128,177
1115,512,465
1116,512,461
1117,512,507
1118,64,80
1119,512,760
1120,256,366
1121,512,536
1122,512,611
1123,512,537
1124,256,282
1125,256,315
1126,512,505
1127,256,293
1128,512,367
1129,1024,923
1130,512,564
1131,256,340
1132,512,434
1133,1024,748
1134,512,478
1135,256,261
1136,1024,669
1137,512,480
1138,1024,885
1139,1024,845
1140,512,428
1141,1024,835
1142,128,139
1143,512,353
1144,256,311
1145,512,350
1146,1024,965
1147,512,387
1148,128,121
1149,256,281
1150,128,169
1151,256,275
1152,512,426
1153,256,267
1154,256,266
1155,256,357
1156,128,143
1157,512,475
1158,512,346
1159,128,166
1160,256,227
1161,512,374
1162,256,260
1163,64,128
1164,512,449
1165,128,205
1166,128,175
1167,256,293
1168,256,252
1169,128,190
1170,512,553
1171,128,190
1172,256,290
1173,512,381
1174,256,287
1175,256,261
1176,256,254
1177,512,391
1178,512,454
1179,128,193
1180,128,162
1181,512,420
1182,512,710
1183,256,378
1184,256,252
1185,512,390
1186,512,524
1187,128,191
1188,512,540
1189,1024,960
1190,512,376
1191,512,417
1192,512,664
1193,256,261
1194,256,259
1195,512,441
1196,256,276
1197,256,313
1198,256,380
1199,256,375
1200,512,555
1201,512,532
1202,512,664
1203,512,510
1204,256,365
1205,128,165
1206,256,303
1207,512,457
1208,128,124
1209,64,126
1210,512,610
1211,512,524
1212,256,252
1213,256,344
1214,512,423
1215,256,214
1216,512,442
1217,512,448
1218,256,345
1219,512,610
1220,128,147
1221,256,255
1222,512,403
1223,256,322
1224,256,209
1225,128,158
1226,256,211
1227,128,132
1228,256,294
1229,512,488
1230,256,232
1231,128,149
1232,256,285
1233,256,257
1234,256,289
1235,512,330
1236,256,234
1237,512,516
1238,256,321
1239,256,323
1240,256,230
1241,256,232
1242,512,494
1243,512,533
1244,64,99
1245,128,242
1246,512,360
1247,256,292
1248,64,153
1249,256,302
1250,256,246
1251,512,496
1252,512,591
1253,256,251
1254,256,264
1255,256,236
1256,256,193
1257,512,464
1258,128,152
1259,256,352
1260,512,378
1261,512,556
1262,128,160
