episode,moves,score,high_tile
460,469,5532.0,512
461,506,6124.0,512
462,216,2336.0,256
463,330,3788.0,256
464,575,6932.0,512
465,525,6240.0,512
466,424,4872.0,512
467,304,3380.0,256
468,581,6936.0,512
469,511,6112.0,512
470,427,5068.0,512
471,524,6228.0,512
472,607,7376.0,512
473,554,6656.0,512
474,545,6620.0,512
475,664,8100.0,512
476,497,5928.0,512
477,419,4896.0,512
478,951,11656.0,1024
479,380,4484.0,256
480,863,10576.0,1024
481,443,5180.0,512
482,524,6236.0,512
483,562,6736.0,512
484,226,2388.0,256
485,351,4044.0,256
486,337,3984.0,256
487,545,6456.0,512
488,616,7524.0,512
489,584,6896.0,1024
490,216,2256.0,256
491,524,6244.0,512
492,360,4088.0,256
493,267,2832.0,256
494,571,7104.0,512
495,421,5008.0,512
496,541,6456.0,512
497,586,7208.0,512
498,436,5192.0,512
499,379,4312.0,256
500,218,2232.0,128
501,463,5436.0,512
502,630,7660.0,512
503,551,6620.0,512
504,139,1352.0,128
505,315,3596.0,512
506,306,3352.0,256
507,476,5640.0,512
508,302,3340.0,256
509,351,3916.0,512
510,607,7204.0,512
511,386,4384.0,256
512,500,5996.0,512
513,366,4288.0,512
514,159,1604.0,128
515,594,7256.0,512
516,513,6120.0,512
517,185,1844.0,128
518,643,7720.0,512
519,551,6684.0,512
520,815,9968.0,1024
521,304,3348.0,256
522,606,7236.0,512
523,631,7524.0,512
524,326,3580.0,256
525,403,4688.0,256
526,235,2444.0,256
527,395,4396.0,256
528,488,5732.0,512
529,197,2036.0,128
530,444,5144.0,512
531,895,11020.0,1024
532,713,8696.0,1024
533,622,7488.0,512
534,478,5716.0,512
535,492,5808.0,512
536,277,3160.0,256
537,257,2772.0,256
538,423,4912.0,512
539,389,4400.0,256
540,592,7064.0,512
541,476,5780.0,512
542,862,10640.0,1024
543,445,5260.0,512
544,617,7484.0,512
545,279,3236.0,256
546,1216,15060.0,2048
547,378,4404.0,512
548,308,3320.0,256
549,223,2392.0,256
550,156,1528.0,128
551,164,1672.0,128
552,482,5784.0,512
553,344,3940.0,256
554,357,4096.0,512
555,426,4988.0,512
556,548,6508.0,512
557,368,4224.0,256
558,480,5648.0,512
559,250,2804.0,256
560,498,5840.0,512
561,341,4008.0,256
562,352,4032.0,256
563,762,9216.0,1024
564,490,5836.0,512
565,580,7012.0,512
566,376,4420.0,256
567,358,4024.0,512
568,444,5232.0,512
569,387,4560.0,256
570,568,6776.0,512
571,447,5272.0,512
572,505,6088.0,512
573,482,5844.0,512
574,525,6368.0,512
575,250,2680.0,256
576,967,11976.0,1024
577,489,5752.0,512
578,492,5872.0,512
579,767,9404.0,1024
580,396,4680.0,256
581,309,3572.0,256
582,539,6524.0,512
583,285,3156.0,256
584,364,4224.0,512
585,743,8884.0,1024
586,349,3988.0,256
587,743,9224.0,1024
588,329,3804.0,256
589,308,3552.0,256
590,503,6048.0,512
591,566,6924.0,512
592,284,3060.0,256
593,121,1032.0,64
594,371,4192.0,256
595,547,6620.0,512
596,152,1452.0,128
597,818,10060.0,1024
598,597,7272.0,512
599,290,3212.0,256
600,503,6080.0,512
601,193,1900.0,128
602,517,6220.0,512
603,655,7832.0,512
604,295,3248.0,256
605,519,6236.0,512
606,614,7476.0,512
607,486,5868.0,512
608,470,5428.0,512
609,989,12276.0,1024
610,553,6584.0,512
611,593,7176.0,512
612,605,7476.0,512
613,423,4960.0,256
614,399,4636.0,512
615,211,2204.0,128
616,885,10748.0,1024
617,328,3624.0,256
618,597,7080.0,512
619,589,7056.0,512
620,358,4244.0,256
621,608,7384.0,512
622,271,2952.0,256
623,384,4352.0,512
624,503,5896.0,512
625,491,5760.0,512
626,344,3948.0,512
627,547,6476.0,512
628,549,6652.0,512
629,273,3012.0,256
630,516,6160.0,512
631,480,5636.0,512
632,236,2492.0,256
633,376,4280.0,256
634,467,5424.0,512
635,517,6168.0,512
636,455,5400.0,512
637,452,5220.0,512
638,601,7308.0,512
639,228,2412.0,256
640,260,2868.0,256
641,196,2088.0,128
642,421,5028.0,512
643,682,8248.0,1024
644,1041,12832.0,1024
645,628,7712.0,512
646,508,5960.0,512
647,377,4380.0,512
648,508,6080.0,512
649,527,6204.0,512
650,587,6948.0,1024
651,350,3996.0,256
652,541,6460.0,512
653,499,5664.0,512
654,554,6712.0,512
655,160,1520.0,128
656,419,5020.0,512
657,434,4960.0,512
658,286,3188.0,256
659,660,8080.0,512
660,333,3784.0,256
661,646,7856.0,512
662,286,3204.0,256
663,266,2968.0,128
664,465,5396.0,512
665,315,3596.0,512
666,843,10400.0,1024
667,407,4664.0,512
668,681,8252.0,512
669,445,5192.0,512
670,612,7464.0,512
