episode,moves,score,high_tile
586,126,908.0,64
587,177,1332.0,128
588,135,1128.0,128
589,100,648.0,64
590,165,1268.0,128
591,128,1032.0,128
592,166,1356.0,128
593,180,1596.0,128
594,234,2092.0,128
595,136,1052.0,128
596,226,1736.0,128
597,163,1276.0,128
598,90,548.0,64
599,195,1532.0,128
600,137,940.0,64
601,160,1320.0,128
602,146,1192.0,128
603,172,1464.0,128
604,132,860.0,64
605,181,1408.0,128
606,79,480.0,64
607,136,1016.0,128
608,123,932.0,64
609,176,1424.0,128
610,156,1208.0,128
611,102,608.0,64
612,151,1140.0,128
613,245,2052.0,256
614,253,2168.0,256
615,120,1032.0,128
616,127,1048.0,128
617,75,536.0,64
618,186,1572.0,128
619,113,816.0,64
620,68,368.0,32
621,104,656.0,64
622,189,1532.0,128
623,170,1300.0,128
624,137,996.0,64
625,122,736.0,64
626,87,544.0,64
627,162,1360.0,128
628,158,1336.0,128
629,105,620.0,64
630,66,308.0,32
631,123,796.0,64
632,77,544.0,64
633,78,436.0,32
634,104,696.0,64
635,163,1280.0,128
636,261,1992.0,256
637,162,1324.0,128
638,264,2520.0,256
639,152,1220.0,128
640,83,568.0,64
641,134,1180.0,128
642,109,700.0,64
643,156,1232.0,128
644,112,612.0,64
645,114,692.0,64
646,182,1396.0,128
647,147,1168.0,128
648,143,964.0,64
649,183,1424.0,128
650,177,1344.0,128
651,137,1096.0,128
652,89,604.0,64
653,97,640.0,64
654,109,748.0,64
655,188,1616.0,128
656,247,2260.0,256
657,161,1364.0,128
658,118,676.0,64
659,205,1924.0,256
660,156,1308.0,128
661,203,1844.0,256
662,118,804.0,64
663,88,644.0,64
664,152,1204.0,128
665,137,1144.0,128
666,301,2840.0,256
667,128,1048.0,128
668,135,980.0,64
669,187,1728.0,128
670,108,696.0,64
671,159,1356.0,128
672,113,732.0,64
673,91,604.0,64
674,153,988.0,64
675,139,1108.0,128
676,234,2092.0,256
677,179,1396.0,128
678,155,1128.0,128
679,240,2092.0,256
680,162,1084.0,128
681,75,420.0,32
682,150,1328.0,128
683,124,1020.0,128
684,110,708.0,64
685,247,2264.0,128
686,90,604.0,64
687,131,1104.0,128
688,145,984.0,64
689,199,1940.0,128
690,79,508.0,64
691,136,1080.0,128
692,114,968.0,128
693,160,1300.0,128
694,127,904.0,64
695,91,588.0,64
696,153,1228.0,128
697,189,1616.0,128
698,153,1276.0,128
699,168,1392.0,128
700,167,1332.0,128
701,146,1228.0,128
702,125,836.0,64
703,74,320.0,32
704,83,480.0,64
705,109,748.0,64
706,117,680.0,64
707,157,1368.0,128
708,155,1136.0,128
709,100,748.0,64
710,226,1724.0,128
711,126,824.0,64
712,164,1360.0,128
713,261,2156.0,256
714,126,1056.0,128
715,121,888.0,64
716,127,1000.0,128
717,181,1428.0,128
718,208,1956.0,256
719,137,1104.0,128
720,148,992.0,64
721,144,952.0,64
722,129,784.0,64
723,118,820.0,64
724,285,2640.0,256
725,160,1192.0,128
726,113,756.0,64
727,134,1052.0,128
728,170,1512.0,128
729,96,624.0,64
730,110,752.0,64
731,114,696.0,64
732,141,1096.0,128
733,143,1244.0,128
734,189,1492.0,128
735,83,576.0,64
736,185,1464.0,128
737,129,1068.0,128
738,167,1436.0,128
739,114,920.0,128
740,95,612.0,64
741,99,668.0,64
742,125,840.0,64
743,170,1340.0,128
744,172,1568.0,128
745,151,812.0,64
746,135,1080.0,128
747,125,900.0,64
748,179,1396.0,128
749,122,708.0,64
750,102,636.0,64
751,133,948.0,64
752,161,1296.0,128
753,108,692.0,64
754,85,556.0,64
755,150,1288.0,128
756,77,464.0,64
757,208,1640.0,128
758,121,844.0,64
759,144,1292.0,128
760,198,1536.0,128
761,243,2276.0,256
762,327,2824.0,256
763,94,612.0,64
764,155,1268.0,128
765,137,940.0,64
766,147,964.0,64
767,167,1332.0,128
768,152,1296.0,128
769,133,892.0,64
770,115,704.0,64
771,139,1180.0,128
772,120,852.0,64
773,137,1136.0,128
774,111,836.0,64
775,214,1804.0,128
776,105,696.0,64
777,234,2048.0,256
778,102,636.0,64
779,216,1848.0,256
780,95,600.0,64
781,168,1204.0,128
782,217,1788.0,128
783,119,720.0,64
784,107,544.0,64
785,280,2492.0,256
786,114,924.0,128
787,164,1296.0,128
788,177,1352.0,128
789,123,820.0,64
790,88,560.0,64
791,108,636.0,64
792,83,544.0,64
793,81,524.0,64
794,110,900.0,128
795,112,776.0,64
796,202,1580.0,128
797,74,300.0,32
798,104,680.0,64
799,259,2240.0,256
800,100,652.0,64
801,114,1000.0,128
802,137,1100.0,128
803,147,1264.0,128
804,151,1028.0,64
805,74,344.0,32
806,96,532.0,64
807,117,844.0,64
808,195,1844.0,128
809,127,892.0,64
810,94,548.0,64
